"Libellé";"Démographie - Nombre de décès - France métropolitaine";"Codes"
"idBank";"000436394";""
"Dernière mise à jour";"27/01/2022 17:28";""
"Période";"";""
"2010-01";"51095";"A"
"2010-02";"45770";"A"
"2010-03";"47555";"A"
"2010-04";"43782";"A"
"2010-05";"43824";"A"
"2010-06";"41654";"A"
"2010-07";"42727";"A"
"2010-08";"41487";"A"
"2010-09";"41743";"A"
"2010-10";"46043";"A"
"2010-11";"44264";"A"
"2010-12";"50525";"A"
"2011-01";"52088";"A"
"2011-02";"45390";"A"
"2011-03";"46906";"A"
"2011-04";"43075";"A"
"2011-05";"43325";"A"
"2011-06";"41391";"A"
"2011-07";"41824";"A"
"2011-08";"41861";"A"
"2011-09";"41188";"A"
"2011-10";"44935";"A"
"2011-11";"44274";"A"
"2011-12";"48538";"A"
"2012-01";"51396";"A"
"2012-02";"53590";"A"
"2012-03";"52871";"A"
"2012-04";"45863";"A"
"2012-05";"44999";"A"
"2012-06";"41724";"A"
"2012-07";"42923";"A"
"2012-08";"42258";"A"
"2012-09";"41282";"A"
"2012-10";"46174";"A"
"2012-11";"45771";"A"
"2012-12";"50376";"A"
"2013-01";"55134";"A"
"2013-02";"50603";"A"
"2013-03";"53241";"A"
"2013-04";"46036";"A"
"2013-05";"44410";"A"
"2013-06";"42324";"A"
"2013-07";"44145";"A"
"2013-08";"41622";"A"
"2013-09";"41986";"A"
"2013-10";"45063";"A"
"2013-11";"44452";"A"
"2013-12";"49392";"A"
"2014-01";"50125";"A"
"2014-02";"45757";"A"
"2014-03";"48298";"A"
"2014-04";"44466";"A"
"2014-05";"44467";"A"
"2014-06";"42107";"A"
"2014-07";"43465";"A"
"2014-08";"43057";"A"
"2014-09";"42544";"A"
"2014-10";"45419";"A"
"2014-11";"45979";"A"
"2014-12";"51319";"A"
"2015-01";"57453";"A"
"2015-02";"56432";"A"
"2015-03";"53931";"A"
"2015-04";"46769";"A"
"2015-05";"45286";"A"
"2015-06";"43637";"A"
"2015-07";"45428";"A"
"2015-08";"44737";"A"
"2015-09";"43639";"A"
"2015-10";"49110";"A"
"2015-11";"45689";"A"
"2015-12";"49659";"A"
"2016-01";"53024";"A"
"2016-02";"48480";"A"
"2016-03";"53090";"A"
"2016-04";"47746";"A"
"2016-05";"46957";"A"
"2016-06";"43412";"A"
"2016-07";"45648";"A"
"2016-08";"44649";"A"
"2016-09";"43805";"A"
"2016-10";"49297";"A"
"2016-11";"48742";"A"
"2016-12";"56223";"A"
"2017-01";"66990";"A"
"2017-02";"51563";"A"
"2017-03";"49159";"A"
"2017-04";"46089";"A"
"2017-05";"47327";"A"
"2017-06";"43399";"A"
"2017-07";"45263";"A"
"2017-08";"45556";"A"
"2017-09";"45067";"A"
"2017-10";"48336";"A"
"2017-11";"48981";"A"
"2017-12";"55876";"A"
"2018-01";"58611";"A"
"2018-02";"51137";"A"
"2018-03";"59233";"A"
"2018-04";"49372";"A"
"2018-05";"46748";"A"
"2018-06";"43940";"A"
"2018-07";"47213";"A"
"2018-08";"46096";"A"
"2018-09";"44716";"A"
"2018-10";"48866";"A"
"2018-11";"48718";"A"
"2018-12";"51902";"A"
"2019-01";"59191";"A"
"2019-02";"54760";"A"
"2019-03";"52395";"A"
"2019-04";"48069";"A"
"2019-05";"48022";"A"
"2019-06";"45315";"A"
"2019-07";"46877";"A"
"2019-08";"45899";"A"
"2019-09";"45062";"A"
"2019-10";"49222";"A"
"2019-11";"50808";"A"
"2019-12";"53788";"A"
"2020-01";"56261";"A"
"2020-02";"50329";"A"
"2020-03";"61898";"A"
"2020-04";"65851";"A"
"2020-05";"47953";"A"
"2020-06";"45113";"A"
"2020-07";"45999";"A"
"2020-08";"48041";"A"
"2020-09";"48037";"A"
"2020-10";"56931";"A"
"2020-11";"65059";"A"
"2020-12";"63127";"A"
"2021-01";"65600";"P"
"2021-02";"56100";"P"
"2021-03";"57400";"P"
"2021-04";"56200";"P"
"2021-05";"51400";"P"
"2021-06";"44900";"P"
"2021-07";"47300";"P"
"2021-08";"49000";"P"
"2021-09";"48200";"P"
"2021-10";"52600";"P"
"2021-11";"52500";"P"
"2021-12";"62000";"P"
